area,households,male,female,transgender,all genders,population 1998,sex ratio,average annual growth rate,area,population 2017,literacy rate 2010,literacy rate 2016,literacy rate 2019
PAKISTAN *,32205111,106449322,101314780,10418,207774520,132352279,105.07,2.4,CHITRAL DISTRICT,447362,0.577,0.58,0.6
KHYBER PAKHTUNKHWA,3845168,15467645,15054813,913,30523371,17743645,102.74,2.89,Chitral Tehsil,278122,0.509,0.53,0.55
FATA,558379,2556292,2445357,27,5001676,3176331,104.54,2.41,Mastuj Tehsil,169240,NA,NA,NA
PUNJAB,17103835,55958974,54046759,6709,110012442,73621290,103.54,2.13,UPPER DIR DISTRICT,946421,0.596,0.62,0.64
SINDH,8585610,24927046,22956478,2527,47886051,30439893,108.58,2.41,Dir Tehsil,439577,0.582,0.55,0.57
BALOCHISTAN,1775937,6483653,5860646,109,12344408,6565885,110.63,3.37,Shringal Tehsil,185037,0.515,0.41,0.4
ISLAMABAD,336182,1055712,950727,133,2006572,805235,111.04,4.91,Wari Tehsil,321807,          NA,NA,NA
BANNU DIVISION,218044,1035308,1008748,18,2044074,1165692,102.63,2.99,LOWER DIR DISTRICT,1435917,          NA,NA,NA
BANNU DISTRICT,119993,593492,574391,9,1167892,675667,103.33,2.92,Temergara Tehsil,520738,          NA,NA,NA
LAKKI MARWAT DISTRICT,98051,441816,434357,9,876182,490025,101.72,3.1,Adenzai Tehsil,317504,          NA,NA,NA
DERA ISMAIL KHAN DIVISION,244372,1039480,979488,49,2019017,1091211,106.12,3.29,Lal Qilla Tehsil,219067,          NA,NA,NA
DERA ISMAIL KHAN DISTRICT,201301,838793,788294,45,1627132,852995,106.41,3.45,Samarbagh (Barwa) Tehsil,378608,          NA,NA,NA
TANK DISTRICT,43071,200687,191194,4,391885,238216,104.97,2.65,BUNER DISTRICT,897319,          NA,NA,NA
HAZARA DIVISION,817199,2707496,2617314,311,5325121,3505581,103.45,2.22,Daggar/Buner Tehsil,355692,          NA,NA,NA
ABBOTTABAD DISTRICT,216534,677570,655281,61,1332912,880666,103.4,2.2,Gagra Tehsil,270467,          NA,NA,NA
BATAGRAM DISTRICT,69525,238209,238393,10,476612,307278,99.92,2.33,Khado Khel Tehsil ,118185,          NA,NA,NA
